"Category","DisplayName","Name","Alias","PrimarySmtpAddress","EmailAddresses","RecipientTypeDetails","AccessType","IsTeam","HiddenFromAddressListsEnabled","RequireSenderAuthenticationEnabled","ManagedBy","WhenCreatedUTC","ExternalDirectoryObjectId","Identity"
"DistributionList","Administration","Administration","Administration","Administration@cowg.cap.gov","smtp:Administration@COCivilAirPatrol.onmicrosoft.com;SMTP:Administration@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/4/2025 9:28:49 PM","b67b81d0-b213-4cdb-a52c-736601c60042","Administration"
"DistributionList","Aerospace","Aerospace","Aerospace","Aerospace@cowg.cap.gov","smtp:Aerospace@COCivilAirPatrol.onmicrosoft.com;SMTP:Aerospace@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/4/2025 9:31:00 PM","99ce6590-1511-4cdd-aa27-6975dc0dc05f","Aerospace"
"DistributionList","Aircrew","Aircrew20250503141358","Aircrew","Aircrew@cowg.cap.gov","smtp:Aircrew@COCivilAirPatrol.onmicrosoft.com;SMTP:Aircrew@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte;robyusko","5/3/2025 2:13:59 PM","54f9d819-2abf-4dd5-888b-add991069c32","Aircrew20250503141358"
"DistributionList","Cadet Programs","Cadet Programs","CadetPrograms","CadetPrograms@cowg.cap.gov","smtp:CadetPrograms@COCivilAirPatrol.onmicrosoft.com;SMTP:CadetPrograms@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/4/2025 9:34:21 PM","c457ce72-1c52-4177-aeb3-617247733795","Cadet Programs"
"DistributionList","Chaplain","Chaplain","Chaplain","Chaplain@cowg.cap.gov","smtp:Chaplain@COCivilAirPatrol.onmicrosoft.com;SMTP:Chaplain@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/4/2025 9:38:27 PM","9eba41b3-2882-44ad-af91-5c04b3487c21","Chaplain"
"DistributionList","Character Development","Character Development","CharacterDevelopment","CharacterDevelopment@cowg.cap.gov","smtp:CharacterDevelopment@COCivilAirPatrol.onmicrosoft.com;SMTP:CharacterDevelopment@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/4/2025 9:38:36 PM","b8cb8fe9-cf61-4675-acdf-e97e45b09020","Character Development"
"DistributionList","CO Wing AEMList","CO Wing AEMList","AEMList","AEMList@cowg.cap.gov","SMTP:AEMList@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 5:28:27 PM","4e0904ec-4db5-4f9e-968e-5376c6f8373b","CO Wing AEMList"
"DistributionList","CO Wing AeroEdList","COWG AeroEdList","AeroEdList","AeroEdList@cowg.cap.gov","SMTP:AeroEdList@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 4:36:22 PM","c9add1f8-df88-4e2d-a9cb-064618ddfe3e","COWG AeroEdList"
"DistributionList","CO Wing Announcements","CO Wing Announcements20230215034737","announcements","announcements@cowg.cap.gov","smtp:announcements@COCivilAirPatrol.onmicrosoft.com;SMTP:announcements@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko;Mike.Schulte","2/15/2023 3:47:38 AM","58a419f7-0d57-406a-85a0-116d29c1dcf5","CO Wing Announcements20230215034737"
"DistributionList","CO Wing Cadets","CO Wing Cadets20230215034655","cadets","cadets@cowg.cap.gov","smtp:cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko;Mike.Schulte","2/15/2023 3:46:56 AM","9b43eeb8-08c3-4b55-9f5c-17614e0a839d","CO Wing Cadets20230215034655"
"DistributionList","CO Wing Check Pilots","CO Wing Check Pilots","CheckPilots","CheckPilots@cowg.cap.gov","SMTP:CheckPilots@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 4:45:30 PM","bfde40da-af88-415c-9154-a5a018b60dfd","CO Wing Check Pilots"
"DistributionList","CO Wing ESOfficers","CO Wing ESOfficersList","ESOfficersList","ESOfficers@cowg.cap.gov","SMTP:ESOfficers@cowg.cap.gov;smtp:ESOfficersList@cowg.cap.gov;smtp:ESOfficersList@COCivilAirPatrol.onmicrosoft.com","MailUniversalDistributionGroup","","False","False","True","rgreenlee;Sanjay.Tyagi;robyusko","2/23/2020 4:55:16 PM","11123ff7-fc16-4856-b390-09fd7f527928","CO Wing ESOfficersList"
"DistributionList","CO WING INCIDENT COMMANDERS","CO WING INCIDENT COMMANDERS20201203042428","INCIDENT_COMMANDERS","INCIDENT_COMMANDERS@cowg.cap.gov","SMTP:INCIDENT_COMMANDERS@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","12/3/2020 4:24:31 AM","f264f89d-bf3d-4347-8cc8-adbe7dccfe0f","CO WING INCIDENT COMMANDERS20201203042428"
"DistributionList","CO Wing IT Helpdesk","COWG IT","cowgit","IT_Helpdesk@cowg.cap.gov","smtp:IT_Helpdesk@COCivilAirPatrol.onmicrosoft.com;SMTP:IT_Helpdesk@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","False","rgreenlee;Mike.Schulte","1/18/2020 7:26:22 PM","d55ee321-7791-41e7-8f89-6307fac2558f","COWG IT"
"DistributionList","CO Wing Logistics And Supply","CO Wing Logistics And Supply","LogisticsAndSupply","LogisticsAndSupply@cowg.cap.gov","SMTP:LogisticsAndSupply@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 5:01:50 PM","280dca3c-fb5d-486e-a8d6-de79e5dc2f2e","CO Wing Logistics And Supply"
"DistributionList","CO Wing Mission Flying","CO Wing Mission Flying","MissionFlying","MissionFlying@cowg.cap.gov","SMTP:MissionFlying@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 5:04:32 PM","609a922f-da5f-4506-9733-27b8c53f31b9","CO Wing Mission Flying"
"DistributionList","CO Wing PDOList","CO Wing PDOList","PDOList","PDOList@cowg.cap.gov","SMTP:PDOList@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 5:13:24 PM","e7b59f50-3c84-4d74-b387-24adf08cd5cf","CO Wing PDOList"
"DistributionList","CO Wing Pilot List","CO Wing Pilot List","PilotList","PilotList@cowg.cap.gov","SMTP:PilotList@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee;robyusko","2/23/2020 5:15:29 PM","f17594d7-956d-4360-ad77-79da18f6b358","CO Wing Pilot List"
"DistributionList","CO Wing Safety Officers","CO Wing Safety Officers","SafetyOfficers","SafetyOfficers@cowg.cap.gov","SMTP:SafetyOfficers@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 5:19:02 PM","eb54f852-110d-42fa-b7f0-a02fe60ddc61","CO Wing Safety Officers"
"DistributionList","CO Wing Seniors","CO Wing Seniors20230215034552","seniors","seniors@cowg.cap.gov","smtp:seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","robyusko","2/15/2023 3:45:54 AM","1242bd64-0831-4dcd-92e5-002a735d43d2","CO Wing Seniors20230215034552"
"DistributionList","CO Wing Staff","COWG Staff","Staff","Staff@cowg.cap.gov","smtp:Staff@COCivilAirPatrol.onmicrosoft.com;smtp:staff001@cowg.cap.gov;SMTP:Staff@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","1/26/2020 5:03:31 PM","c5042105-8316-4843-9144-a4cf5f573076","COWG Staff"
"DistributionList","CO Wing Stan Eval","CO Wing Stan Eval","stanEvalDuty","stanEvalDuty@cowg.cap.gov","SMTP:stanEvalDuty@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","3/3/2020 7:09:43 PM","cd8eb1c6-04ea-4e08-89c8-d7ab5133be07","CO Wing Stan Eval"
"DistributionList","CO Wing Transportation","CO Wing Transportation","Transportation","Transportation@cowg.cap.gov","SMTP:Transportation@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","rgreenlee","2/23/2020 5:24:18 PM","ab7c4406-03b0-477d-bb81-090fe3fbdb48","CO Wing Transportation"
"DistributionList","CO-015 Cadets","CO-015 Cadets","CO-015Cadets","CO-015-Cadets@cowg.cap.gov","smtp:CO-015Cadets@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-015-Cadets@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:42:43 PM","3ddeedaa-82b4-4ba0-92ae-50d436ca4e97","CO-015 Cadets"
"DistributionList","CO-015 Seniors","CO-015 Seniors","CO-015Seniors","CO-015-Seniors@cowg.cap.gov","smtp:CO-015Seniors@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-015-Seniors@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","5/17/2025 4:36:37 PM","c0555632-7e05-4c3b-b5a5-f75a7df68eb6","CO-015 Seniors"
"DistributionList","CO-015 THUNDER MOUNTAIN COMPOSITE SQDN","CO-015","CO-015","CO-015@cowg.cap.gov","smtp:CO-015@COCivilAirPatrol.onmicrosoft.com;SMTP:CO-015@cowg.cap.gov","MailUniversalDistributionGroup","","False","False","True","Mike.Schulte","7/9/2025 4:37:29 AM","8415b78c-5d13-4f24-a54e-064f45ae4461","CO-015"
